Bình Hiên, Hải Châu
Bình Thuận, Hải Châu
Hải Châu 1, Hải Châu
Hải Châu 2, Hải Châu
Hoà Cường Bắc, Hải Châu
Hoà Cường Nam, Hải Châu
Hoà Thuận Đông, Hải Châu
Hoà Thuận Tây, Hải Châu
Nam Dương, Hải Châu
Phước Ninh, Hải Châu
Thạch Thang, Hải Châu
Thanh Bình, Hải Châu
Thuận Phước, Hải Châu
Hoà An, Cẩm Lệ
Hoà Phát, Cẩm Lệ
Hoà Thọ Đông, Cẩm Lệ
Hoà Thọ Tây, Cẩm Lệ
Hoà Xuân, Cẩm Lệ
Khuê Trung, Cẩm Lệ
Hoà Hiệp Bắc, Liên Chiểu
Hoà Hiệp Nam, Liên Chiểu
Hoà Khánh Bắc, Liên Chiểu
Hoà Khánh Nam, Liên Chiểu
Hoà Minh, Liên Chiểu
An Khê, Thanh Khê
Hòa Khê, Thanh Khê
Thanh Khê Đông, Thanh Khê
Thanh Khê Tây, Thanh Khê
Xuân Hà, Thanh Khê
Tam Thuận, Thanh Khê
Tân Chính, Thanh Khê
Chính Gián, Thanh Khê
Thạc Gián , Thanh Khê
Vĩnh Trung, Thanh Khê
